何,なに,ナニ,なん
何か,なにか,なんか
鍋,なべ
怠ける,なまける
波,なみ,ぽ,は
涙,なみだ,なみた,なだ,なんだ
悩む,なやむ
成る,なる
縄,なわ
何で,なんで
何でも,なんでも
何とか,なんとか
似合う,にあう
匂い,におい
苦手,にがて
握る,にぎる
日,ひ,にち,か,んち,ち
日常,にちじょう
日曜,にちよう
日光,にっこう
日中,にっちゅう,ひなか
日本,にほん,にっぽん
入院,にゅういん
入学,にゅうがく
入場,にゅうじょう
人気,にんき,ひとけ,ひとげ,じんき
人間,にんげん,じんかん
抜く,ぬく
抜ける,ぬける
布,ぬの,ふ,の
濡れる,ぬれる
根,ね,こん
値,あたい,ち,ね
願い,ねがい
願う,ねがう
鼠,ねずみ,ネズミ,ねず
値段,ねだん
熱心,ねっしん
熱帯,ねったい
熱中,ねっちゅう
年間,ねんかん
年中,ねんじゅう,ねんちゅう,ねんぢゅう,としなか
年代,ねんだい
年齢,ねんれい
野,の,や
能,のう
農家,のうか
農業,のうぎょう
農民,のうみん
能力,のうりょく,のうりき
残す,のこす
残り,のこり
乗せる,のせる
除く,のぞく
望み,のぞみ
望む,のぞむ
喉,のど,のんど,のみと,のみど,ノド,こん,こう
伸ばす,のばす
伸びる,のびる
述べる,のべる
昇る,のぼる
場,ば,じょう
灰,はい
配達,はいたつ,はいだつ
俳優,はいゆう
墓,はか
馬鹿,ばか,バカ
博士,はかせ,はくし
計る,はかる
履く,はく
吐く,つく,はく
拍手,はくしゅ,かしわで
莫大,ばくだい
爆発,ばくはつ
博物館,はくぶつかん
激しい,はげしい
破産,はさん
端,はし,はじ,はな,はした,つま,たん,はた
始まり,はじまり
外す,はずす
旗,はた
肌,はだ,はだえ
裸,はだか
畑,はたけ,はた
二十,にじゅう,はた,はたち,にじゅっさい,にじっさい
働き,はたらき
発見,はっけん
発行,はっこう
発車,はっしゃ
罰する,ばっする
発達,はったつ
発展,はってん
発表,はっぴょう
発明,はつめい
話し合う,はなしあう
離す,はなす
放す,はなす
離れる,はなれる
羽,はね,は,わ,ば,ぱ,う
幅,はば,の,ふく
母親,ははおや
省く,はぶく
場面,ばめん
腹,はら
原,げん,はら,ばら
針,はり
張る,はる,ばる
番,ばん,つがい
範囲,はんい
反抗,はんこう
犯罪,はんざい
判断,はんだん
犯人,はんにん
販売,はんばい
灯,ひ,あかり,あかし,とう,ともし,とぼし,ともしび
被害,ひがい
比較,ひかく
轢く,ひく
悲劇,ひげき
飛行,ひこう,ひぎょう
膝,ひざ,ヒザ
非常,ひじょう
美人,びじん
日付,ひづけ
必死,ひっし
引っ張る,ひっぱる
否定,ひてい
一言,ひとこと,いちげん,いちごん
人込み,ひとごみ
等しい,ひとしい
独り,ひとり,いちにん
一人一人,ひとりひとり,ひとりびとり
批判,ひはん
批評,ひひょう
秘密,ひみつ
微妙,びみょう,ビミョー,みみょう
紐,ひも,ヒモ
費用,ひよう
表,おもて,ひょう
秒,びょう
評価,ひょうか
表現,ひょうげん
表情,ひょうじょう
平等,びょうどう
評判,ひょうばん
表面,ひょうめん,おもてめん
広がる,ひろがる
